Block Group ID,Population,Parcels,School Kids,Households,Square Miles,Violent Crime Rate,Property Crime Rate,Nuisance Calls Rate,Vice Calls Rate,Animal Calls Rate,Median Household Income,Assessed Value 2012,Foreclosure Starts,Estimated Tax Bill 2012,Land Value Per Acre 2012,% School Aged Children,Household Size,PopDen,% High School or More,% Bachelors or More,Unemployment Rate,% In Labor Force,% on Public Assistance,Poverty Rate,Child Poverty Rate,% Owner Occupied,% Renter Occupied,Vacant Structures,Vacant Lots,Out of Town Owners,City Demolitions,Blighted Properties,Certs of Compliance/Occupancy Issued,Population Under 9,Population 10-17,Population 18-21,Population 22-29,Population 30's,Population 40's,Population 50's,Population 60's,Population Over 70,American Indian Population,Asian Population,Black Population,All Other Population,White Population,% Commercial Land Use,% Industrial Land Use,% Other Land Use,% Residential Land Use,% Vacant Land Use
360550040002,684,216,215,225,0.08,5.8,39.5,426.9,176.9,172.5,"19,583","35,000",1,1094.12,"36,795",31.4,3.0,8343.9,69.73,10.48,0.00,68.9,21.85,42.9,59.70,31.94,68.06,16,7,25,0,12,14,139,112,39,72,100,96,69,28,26,5,37,283,62,302,7.5,1.4,1.9,86.0,3.3
360550041001,477,222,101,173,0.07,33.5,106.9,230.6,163.5,199.2,"12,071","19,000",0,593.95,"27,373",21.2,2.8,7237.1,60.91,3.17,39.20,37.5,43.14,61.8,93.90,23.42,76.58,17,48,19,6,11,19,95,59,26,63,52,68,57,31,25,7,13,214,89,161,13.7,0.0,0.5,63.0,22.7
360550041002,750,259,167,252,0.08,25.3,57.3,382.7,232.0,148.0,"12,071","25,000",2,781.51,"37,870",22.3,2.8,9478.9,60.91,3.17,15.09,51.6,43.14,61.8,93.90,26.25,73.75,18,45,26,7,17,27,151,93,55,101,69,113,90,48,27,2,76,279,110,285,10.3,1.2,0.8,70.0,17.8
360550046021,636,163,164,211,0.06,7.9,36.2,122.6,23.6,51.9,"21,353","55,000",5,1719.33,"47,316",25.8,3.0,10976.3,68.65,7.61,12.68,77.2,0.00,29.4,38.70,42.94,57.06,11,1,19,0,12,8,125,102,49,83,72,78,76,29,20,0,2,347,136,151,0.6,0.0,0.6,98.1,0.6
360550046022,1810,291,311,1012,0.20,8.8,35.4,109.9,39.8,69.6,"21,353","43,000",3,1344.20,"38,185",17.2,1.8,9245.6,68.65,7.61,20.73,50.3,0.00,29.4,38.70,29.21,70.79,26,15,48,0,34,31,268,166,91,197,144,172,214,252,270,12,43,869,284,614,10.3,0.7,1.4,82.4,5.2
360550047011,2017,123,333,1130,0.15,4.0,16.4,66.4,6.4,17.8,"19,008","58,400",3,1863.75,"61,726",16.5,1.7,13117.2,74.15,22.13,8.48,40.0,39.81,31.5,42.90,25.20,74.80,5,6,20,0,1,15,273,176,102,188,190,240,309,266,246,11,49,779,426,763,43.1,0.0,1.8,49.5,5.5
360550047012,1016,438,71,456,0.71,3.0,43.3,68.9,3.9,65.0,"19,008","94,000",7,2950.99,"60,774",7.0,2.2,1426.8,74.15,22.13,2.00,68.7,39.81,31.5,42.90,76.48,23.52,7,10,39,0,0,10,120,72,35,102,155,131,180,109,102,6,16,228,87,685,5.4,0.0,2.2,90.0,2.4
360550047021,691,176,115,354,0.10,14.5,39.1,62.2,33.3,68.0,"30,694","56,500",2,1766.22,"35,619",16.6,2.0,6791.8,70.03,5.49,13.87,59.5,30.77,39.2,67.60,70.45,29.55,2,4,8,0,0,7,73,60,41,68,109,130,113,61,32,4,41,274,138,238,2.9,1.1,0.0,93.7,2.3
360550047022,875,353,148,346,0.09,4.6,21.7,123.4,6.9,82.3,"30,694","56,000",8,1750.59,"35,779",16.9,2.5,9511.7,70.03,5.49,2.92,61.1,30.77,39.2,67.60,62.04,37.96,11,14,12,0,2,9,125,108,55,82,99,142,117,69,63,15,47,318,192,318,7.9,0.0,0.3,87.8,4.0
360550047023,623,269,116,213,0.14,20.9,53.0,457.5,130.0,112.4,"30,694","30,000",8,986.27,"30,360",18.6,2.9,4484.5,70.03,5.49,25.91,52.6,30.77,39.2,67.60,23.42,76.58,18,28,24,1,18,24,113,76,51,74,88,76,76,38,22,10,19,275,184,145,24.4,6.2,1.9,56.6,10.9
360550048001,827,255,226,279,0.05,14.5,65.3,299.9,70.1,110.0,"23,630","32,000",3,1000.34,"32,738",27.3,3.0,15744.4,83.07,10.83,21.74,47.5,47.54,48,68.00,28.24,71.76,20,12,26,0,10,18,172,147,70,96,96,112,71,33,26,9,3,425,222,177,7.0,0.0,0.4,87.7,4.9
360550048002,821,247,242,280,0.05,7.3,45.1,191.2,36.5,106.0,"23,630","31,000",4,969.08,"26,607",29.5,2.9,15075.3,83.07,10.83,16.36,75.6,47.54,48,68.00,38.06,61.94,15,8,23,0,11,21,158,151,61,75,105,111,75,41,40,15,11,410,201,199,5.7,0.4,0.0,90.6,3.3
