Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100443	I590				EDGEWOOD AVE OVER NO CONN	1	1.83	2.04	0.21	92	Town	Brighton	01 NYSDOT	11	75664	1			3003353	65-12	6	O	Y						52	78800	2007
4	MONROE	100443	I590			EDGEWOOD AVE OVER NO CONN		1	2.04	2.32	0.28	92	Town	Brighton	01 NYSDOT	11	75664	1			3003353	65-12	6	O	Y						52	78800	2007
4	MONROE	100443	I590				RT 31	1	2.32	2.78	0.46	92	Town	Brighton	01 NYSDOT	11	75664	1				65-12	6	O	Y						52	78800	2007
4	MONROE	100422	I490			RT 441 LINDEN AVE		2	26.5	26.87	0.37	92	Town	Brighton	01 NYSDOT	11	75664	1				56-9	6	O	Y						547	79200	2009
4	MONROE	100422	I490					2	26.87	27.44	0.57	669	Town	Pittsford	01 NYSDOT	11	75664	1			3007406	56-9	6	O	Y						547	79200	2009
4	MONROE	100422	I490				E ROCHESTER CONNECTIONS	2	27.44	27.84	0.4	669	Town	Pittsford	01 NYSDOT	11	75664	1				56-9	6	O	Y						547	79200	2009
4	MONROE	100358	I390			RT 204 - ROCHESTER CL / GATES TL		3	17.05	17.47	0.42	316	Town	Gates	01 NYSDOT	11	75664	1				62-14	6	O	Y						24	80300	2007
4	MONROE	100358	I390				BUELL RD UNDER NO CONN	3	17.47	17.6	0.13	316	Town	Gates	01 NYSDOT	11	75664	1			3007567	62-14	6	O	Y						24	80300	2007
4	MONROE	100358	I390			BUELL RD UNDER NO CONN	RAILROAD UNDER	3	17.6	17.65	0.05	316	Town	Gates	01 NYSDOT	11	75664	1			3007567	62-14	6	O	Y						24	80300	2007
4	MONROE	100358	I390			RAILROAD UNDER	RT 33A	3	17.65	17.76	0.11	316	Town	Gates	01 NYSDOT	11	75664	1			3007567	62-14	6	O	Y						24	80300	2007
4	MONROE	100023	NY104			CARTER ST UNDER	ROCHESTER CL / IRONDEQUOIT TL	3	21.29	21.68	0.39	2048	City	Rochester	01 NYSDOT	12	75664	1			3004676	67-3	6	O	Y						56	82100	2009
