name	BEDS Code	Enrollment	District	County
Catskill Elementary School	190401060008	788	Catskill Central School District	GREENE
Catskill Middle School	190401060007	377	Catskill Central School District	GREENE
Catskill Senior High School	190401060003	562	Catskill Central School District	GREENE
Coxsackie Elementary School	190501040002	288	Coxsackie-Athens Central School District	GREENE
Coxsackie-Athens High School	190501040001	514	Coxsackie-Athens Central School District	GREENE
Coxsackie-Athens Middle School	190501040004	443	Coxsackie-Athens Central School District	GREENE
Edward J Arthur Elementary School	190501040003	282	Coxsackie-Athens Central School District	GREENE
Greenville High School	190701040004	412	Greenville Central School District	GREENE
Greenville Middle School	190701040001	292	Greenville Central School District	GREENE
Scott M Ellis Elementary School	190701040005	544	Greenville Central School District	GREENE
Hunter Elementary School	190901040003	197	Hunter-Tannersville Central School District	GREENE
Hunter-Tannersville Middle School High School	190901040001	231	Hunter-Tannersville Central School District	GREENE
Windham Ashland Central School	191401040001	399	Windham-Ashland-Jewett Central School District	GREENE
Indian Lake Central School	200401040001	153	Indian Lake Central School District	HAMILTON
Inlet Elementary School	200501080001	32	Inlet Common School District	HAMILTON
Lake Pleasant School	200601040001	96	Lake Pleasant Central School District	HAMILTON
Long Lake Central School	200701040001	59	Long Lake Central School District	HAMILTON
Piseco Elementary School	200101080001	24	Piseco Common School District	HAMILTON
Wells School	200901040001	182	Wells Central School District	HAMILTON
Dolgeville Elementary School	211003040001	357	Dolgeville Central School District	HERKIMER
Dolgeville Middle School	211003040004	292	Dolgeville Central School District	HERKIMER
James A Green High School	211003040002	246	Dolgeville Central School District	HERKIMER
Frankfort Schuyler Central High School	210402060001	387	Frankfort-Schuyler Central School District	HERKIMER
Frankfort-Schuyler Elementary School	210402060003	278	Frankfort-Schuyler Central School District	HERKIMER
Frankfort-Schuyler Middle School	210402060005	273	Frankfort-Schuyler Central School District	HERKIMER
West Frankfort Elementary School	210402060002	245	Frankfort-Schuyler Central School District	HERKIMER
Herkimer Elementary School	210601060006	674	Herkimer Central School District	HERKIMER
Herkimer High School	210601060005	555	Herkimer Central School District	HERKIMER
Barringer Road Elementary School	210501060006	399	Ilion Central School District	HERKIMER
Ilion Junior-Senior High School	210501060005	754	Ilion Central School District	HERKIMER
Remington Elementary School	210501060007	507	Ilion Central School District	HERKIMER
Benton Hall Academy	210800050001	538	Little Falls City School District	HERKIMER
Little Falls High School	210800050005	368	Little Falls City School District	HERKIMER
Little Falls Middle School	210800050006	272	Little Falls City School District	HERKIMER
Gregory B Jarvis Junior-Senior Hs	210502040001	392	Mohawk Central School District	HERKIMER
Harry M Fisher Elementary School	210502040002	453	Mohawk Central School District	HERKIMER
Mount Markham Elementary School	212001040002	453	Mount Markham Central School District	HERKIMER
Mount Markham Middle School	212001040005	361	Mount Markham Central School District	HERKIMER
Mount Markham Senior High School	212001040003	420	Mount Markham Central School District	HERKIMER
Poland Elementary School	211103040003	302	Poland Central School District	HERKIMER
Poland Junior-Senior High School	211103040001	355	Poland Central School District	HERKIMER
Town Of Webb School	211901020001	290	Town Of Webb Union Free School District	HERKIMER
Owen D Young Central School	211701040001	207	Van Hornesville-Owen D Young Central School District	HERKIMER
West Canada Valley Elementary School	210302040005	398	West Canada Valley Central School District	HERKIMER
West Canada Valley Junior-Senior High School	210302040003	380	West Canada Valley Central School District	HERKIMER
Reese Road Elementary School	210402060003	270	Frankfort-Schuyler Central School District	HERKIMER
Alexandria Central Elementary School	220202040001	347	Alexandria Central School District	JEFFERSON
Alexandria Central High School	220202040002	310	Alexandria Central School District	JEFFERSON
Belleville Henderson Central School	220909040010	507	Belleville Henderson Central School District	JEFFERSON
Black River School	222201060002	488	Carthage Central School District	JEFFERSON
Carthage Elementary School	222201060005	503	Carthage Central School District	JEFFERSON
Carthage Middle School	222201060011	1063	Carthage Central School District	JEFFERSON
Carthage Senior High School	222201060001	951	Carthage Central School District	JEFFERSON
West Carthage Elementary School	222201060006	476	Carthage Central School District	JEFFERSON
Brownville School	220401040002	514	General Brown Central School District	JEFFERSON
Dexter Elementary School	220401040003	334	General Brown Central School District	JEFFERSON
General Brown Junior-Senior High School	220401040004	704	General Brown Central School District	JEFFERSON
Antwerp Primary School	220301060001	247	Indian River Central School District	JEFFERSON
Calcium Primary School	220301060009	553	Indian River Central School District	JEFFERSON
Evans Mills Primary School	220301060002	508	Indian River Central School District	JEFFERSON
Indian River High School	220301060007	919	Indian River Central School District	JEFFERSON
Indian River Intermediate School	220301060010	643	Indian River Central School District	JEFFERSON
Indian River Middle School	220301060008	829	Indian River Central School District	JEFFERSON
Philadelphia Primary School	220301060003	167	Indian River Central School District	JEFFERSON
Theresa Primary School	220301060004	240	Indian River Central School District	JEFFERSON
La Fargeville Central School	221401040001	613	La Fargeville Central School District	JEFFERSON
Lyme Central School	221301040001	357	Lyme Central School District	JEFFERSON
Sackets Harbor Central School	221001040001	465	Sackets Harbor Central School District	JEFFERSON
Clarke Middle School	220101040006	472	South Jefferson Central School District	JEFFERSON
Mannsville Manor Elementary School	220101040004	385	South Jefferson Central School District	JEFFERSON
Maynard P Wilson Elementary School	220101040003	517	South Jefferson Central School District	JEFFERSON
South Jefferson High School	220101040002	607	South Jefferson Central School District	JEFFERSON
Cape Vincent Elementary School	220701040002	114	Thousand Islands Central School District	JEFFERSON
Guardino Elementary School	220701040001	357	Thousand Islands Central School District	JEFFERSON
Thousand Islands High School	220701040003	348	Thousand Islands Central School District	JEFFERSON
Thousand Islands Middle School	220701040004	269	Thousand Islands Central School District	JEFFERSON
Case Middle School	222000010013	592	Watertown City School District	JEFFERSON
Harold T Wiley School	222000010017	660	Watertown City School District	JEFFERSON
Knickerbocker School	222000010007	425	Watertown City School District	JEFFERSON
North Elementary School	222000010014	546	Watertown City School District	JEFFERSON
Ohio Street School	222000010015	338	Watertown City School District	JEFFERSON
Sherman School	222000010010	346	Watertown City School District	JEFFERSON
Starbuck Elementary School	222000010011	134	Watertown City School District	JEFFERSON
Watertown Senior High School	222000010016	1226	Watertown City School District	JEFFERSON
Beaver River Elementary School	231301040001	383	Beaver River Central School District	LEWIS
Beaver River Middle School	231301040004	198	Beaver River Central School District	LEWIS
Beaver River Senior High School	231301040002	311	Beaver River Central School District	LEWIS
Copenhagen Central School	230201040001	499	Copenhagen Central School District	LEWIS
Harrisville Elementary School	230301040001	247	Harrisville Central School District	LEWIS
Harrisville Junior-Senior High School	230301040002	183	Harrisville Central School District	LEWIS
Lowville Elementary School	230901040001	725	Lowville Academy & Central School District	LEWIS
Lowville High School	230901040002	431	Lowville Academy & Central School District	LEWIS
Lowville Middle School	230901040003	320	Lowville Academy & Central School District	LEWIS
Constableville Elementary School	231101040004	92	South Lewis Central School District	LEWIS
Glenfield Elementary School	231101040005	198	South Lewis Central School District	LEWIS
Port Leyden Elementary School	231101040008	211	South Lewis Central School District	LEWIS
South Lewis High School	231101040007	355	South Lewis Central School District	LEWIS
South Lewis Middle School	231101040006	212	South Lewis Central School District	LEWIS
South Lewis Senior High School	231101040007	361	South Lewis Central School District	LEWIS
Avon High School	240101040002	330	Avon Central School District	LIVINGSTON
Avon Middle School	240101040003	312	Avon Central School District	LIVINGSTON
Avon Primary School	240101040001	364	Avon Central School District	LIVINGSTON
Caledonia-Mumford Elementary School	240201040001	422	Caledonia-Mumford Central School District	LIVINGSTON
Caledonia-Mumford High School	240201040002	329	Caledonia-Mumford Central School District	LIVINGSTON
Caledonia-Mumford Middle School	240201040003	209	Caledonia-Mumford Central School District	LIVINGSTON
Dalton-Nunda Elementary School	241101040002	345	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
Dalton-Nunda High School	241101040003	264	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
Dalton-Nunda Middle School	241101040001	212	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
Dansville Junior/Senior High School	241001060003	556	Dansville Central School District	LIVINGSTON
Dansville Middle School	241001060002	376	Dansville Central School District	LIVINGSTON
Dansville Primary School	241001060004	412	Dansville Central School District	LIVINGSTON
Ellis B Hyde Elementary School	241001060001	372	Dansville Central School District	LIVINGSTON
Geneseo Elementary School	240401040002	410	Geneseo Central School District	LIVINGSTON
Geneseo Middle School High School	240401040001	489	Geneseo Central School District	LIVINGSTON
Livonia Elementary School	240801060001	532	Livonia Central School District	LIVINGSTON
Livonia Intermediate School	240801060004	405	Livonia Central School District	LIVINGSTON
Livonia Junior/Senior High School	240801060002	639	Livonia Central School District	LIVINGSTON
Livonia Middle School	240801060003	276	Livonia Central School District	LIVINGSTON
Mount Morris Elementary School	240901040002	295	Mount Morris Central School District	LIVINGSTON
Mount Morris Middle/Senior High School	240901040001	206	Mount Morris Central School District	LIVINGSTON
York Central Elementary School	241701040003	336	York Central School District	LIVINGSTON
York Middle/High School	241701040004	472	York Central School District	LIVINGSTON
York Middle School	241701040005	181	York Central School District	LIVINGSTON
Livonia Primary School	240801060001	553	Livonia Central School District	LIVINGSTON
Livonia Senior High School	240801060002	665	Livonia Central School District	LIVINGSTON
Livonia Junior High School	240801060003	323	Livonia Central School District	LIVINGSTON
Dansville Senior High School	241001060003	540	Dansville Central School District	LIVINGSTON
Keshequa Middle School	241101040001	196	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
Keshequa Elementary School	241101040002	390	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
Keshequa Senior High School	241101040003	255	Dalton-Nunda Central School District (Keshequa)	LIVINGSTON
York Senior High School	241701040004	305	York Central School District	LIVINGSTON
Mount Morris Elementary/Middle School	240901040002	283	Mount Morris Central School District	LIVINGSTON
Mount Morris Senior High School	240901040001	275	Mount Morris Central School District	LIVINGSTON
Brookfield Central School	250109040001	239	Brookfield Central School District	MADISON
Canastota High School	250901060004	737	Canastota Central School District	MADISON
Peterboro Street Elementary School	250901060003	221	Canastota Central School District	MADISON
Roberts Street Middle School	250901060005	366	Canastota Central School District	MADISON
South Side Elementary School	250901060006	218	Canastota Central School District	MADISON
Burton Street Elementary School	250201060006	559	Cazenovia Central School District	MADISON
Cazenovia High School	250201060002	723	Cazenovia Central School District	MADISON
Cazenovia Middle School	250201060001	382	Cazenovia Central School District	MADISON
Bolivar Road Elementary School	251601060002	342	Chittenango Central School District	MADISON
Bridgeport Elementary School	251601060001	262	Chittenango Central School District	MADISON
Chittenango High School	251601060005	763	Chittenango Central School District	MADISON
Chittenango Middle School	251601060003	520	Chittenango Central School District	MADISON
Lake Street Elementary School	251601060006	341	Chittenango Central School District	MADISON
Deruyter Elementary School	250301040002	190	Deruyter Central School District	MADISON
Deruyter High School	250301040001	242	Deruyter Central School District	MADISON
Hamilton Elementary School	250701040002	277	Hamilton Central School District	MADISON
Hamilton Junior-Senior High School	250701040001	328	Hamilton Central School District	MADISON
Madison Central School	251101040003	473	Madison Central School District	MADISON
Edward R Andrews Elementary School	250401040001	414	Morrisville-Eaton Central School District	MADISON
Morrisville Middle School High School	250401040004	360	Morrisville-Eaton Central School District	MADISON
Durhamville School	251400010002	306	Oneida City School District	MADISON
North Broad Street School	251400010003	245	Oneida City School District	MADISON
Oneida Castle School	251400010004	168	Oneida City School District	MADISON
Oneida Senior High School	251400010009	728	Oneida City School District	MADISON
Otto L Shortell Middle School	251400010008	411	Oneida City School District	MADISON
Seneca Street School	251400010005	257	Oneida City School District	MADISON
W F Prior Elementary School	251400010006	264	Oneida City School District	MADISON
Stockbridge Valley Central School	251501040001	507	Stockbridge Valley Central School District	MADISON
Sylvan-Verona Beach Elementary School	251400010001	87	Oneida City School District	MADISON
Eugenio Maria De Hostos Charter School	261600860811	353		MONROE
Genesee Community Charter School	261600860826	203		MONROE
Rochester Academy Charter School	261600860910	260		MONROE
True North Rochester Preparatory Charter School (The)	261600860906	447		MONROE
University Preparatory Charter School For Young Men	261600860985	161		MONROE
Urban Choice Charter School	261600860877	393		MONROE
Brighton High School	260101060004	1177	Brighton Central School District	MONROE
Council Rock Primary School	260101060001	694	Brighton Central School District	MONROE
French Road Elementary School	260101060010	770	Brighton Central School District	MONROE
Twelve Corners Middle School	260101060008	876	Brighton Central School District	MONROE
A D Oliver Middle School	261801060005	904	Brockport Central School District	MONROE
Barclay Elementary School	261801060004	554	Brockport Central School District	MONROE
Brockport High School	261801060003	1327	Brockport Central School District	MONROE
Fred W Hill School	261801060006	555	Brockport Central School District	MONROE
Ginther Elementary School	261801060002	599	Brockport Central School District	MONROE
Chestnut Ridge Elementary School	261501060002	643	Churchville-Chili Central School District	MONROE
Churchville Elementary School	261501060003	335	Churchville-Chili Central School District	MONROE
Churchville-Chili Middle School 5-8	261501060008	1296	Churchville-Chili Central School District	MONROE
Churchville-Chili Senior High School	261501060004	1366	Churchville-Chili Central School District	MONROE
Fairbanks Road Elementary School	261501060006	500	Churchville-Chili Central School District	MONROE
Durand-Eastman Intermediate School	260801060009	378	East Irondequoit Central School District	MONROE
East Irondequoit Middle School	260801060012	729	East Irondequoit Central School District	MONROE
Eastridge Senior High School	260801060006	989	East Irondequoit Central School District	MONROE
Helendale Road Primary School	260801060011	325	East Irondequoit Central School District	MONROE
Ivan L Green Primary School	260801060005	364	East Irondequoit Central School District	MONROE
Laurelton-Pardee Intermediate School	260801060003	297	East Irondequoit Central School District	MONROE
East Rochester Elementary School	261313030001	665	East Rochester Union Free School District	MONROE
East Rochester Junior-Senior High School	261313030002	523	East Rochester Union Free School District	MONROE
Brooks Hill School	261301060001	630	Fairport Central School District	MONROE
Dudley School	261301060010	645	Fairport Central School District	MONROE
Fairport Senior High School	261301060009	1648	Fairport Central School District	MONROE
Jefferson Avenue School	261301060006	648	Fairport Central School District	MONROE
Johanna Perrin Middle School	261301060002	763	Fairport Central School District	MONROE
Martha Brown Middle School	261301060004	850	Fairport Central School District	MONROE
Minerva Deland School	261301060007	539	Fairport Central School District	MONROE
Northside School	261301060008	803	Fairport Central School District	MONROE
Florence Brasser School	260401060002	257	Gates-Chili Central School District	MONROE
Gates-Chili High School	260401060001	1605	Gates-Chili Central School District	MONROE
Gates-Chili Middle School	260401060004	1023	Gates-Chili Central School District	MONROE
Neil Armstrong School	260401060009	512	Gates-Chili Central School District	MONROE
Paul Road School	260401060007	563	Gates-Chili Central School District	MONROE
Walt Disney School	260401060008	475	Gates-Chili Central School District	MONROE
Apollo Middle School	260501060022	691	Greece Central School District	MONROE
Arcadia High School	260501060010	1154	Greece Central School District	MONROE
Arcadia Middle School	260501060023	813	Greece Central School District	MONROE
Athena High School	260501060019	1317	Greece Central School District	MONROE
Athena Middle School	260501060020	893	Greece Central School District	MONROE
Autumn Lane Elementary School	260501060001	397	Greece Central School District	MONROE
Brookside Elementary School Campus	260501060004	273	Greece Central School District	MONROE
Buckman Heights Elementary School	260501060012	362	Greece Central School District	MONROE
Craig Hill Elementary School	260501060015	405	Greece Central School District	MONROE
English Village Elementary School	260501060006	454	Greece Central School District	MONROE
Holmes Road Elementary School	260501060016	418	Greece Central School District	MONROE
Kirk Road Elementary School	260501060018	313	Greece Central School District	MONROE
Lakeshore Elementary School	260501060011	365	Greece Central School District	MONROE
Longridge School	260501060002	813	Greece Central School District	MONROE
Odyssey Academy	260501060013	796	Greece Central School District	MONROE
Olympia High School	260501060008	1137	Greece Central School District	MONROE
Paddy Hill Elementary School	260501060009	387	Greece Central School District	MONROE
Parkland Elementary School Campus	260501060014	274	Greece Central School District	MONROE
Pine Brook Elementary School	260501060024	570	Greece Central School District	MONROE
West Ridge Elementary School	260501060007	388	Greece Central School District	MONROE
Hilton High School	261101060004	1417	Hilton Central School District	MONROE
Merton Williams Middle School	261101060005	702	Hilton Central School District	MONROE
Northwood Elementary School	261101060006	856	Hilton Central School District	MONROE
Quest Elementary School	261101060002	441	Hilton Central School District	MONROE
Village Elementary School	261101060001	1044	Hilton Central School District	MONROE
Honeoye Falls-Lima Middle School	260901060005	606	Honeoye Falls-Lima Central School District	MONROE
Honeoye Falls-Lima Senior High School	260901060004	854	Honeoye Falls-Lima Central School District	MONROE
Lima Elementary School	260901060001	337	Honeoye Falls-Lima Central School District	MONROE
Manor Intermediate School	260901060002	716	Honeoye Falls-Lima Central School District	MONROE
Bay Trail Middle School	261201060008	1059	Penfield Central School District	MONROE
Cobbles Elementary School	261201060003	514	Penfield Central School District	MONROE
Harris Hill Elementary School	261201060009	507	Penfield Central School District	MONROE
Indian Landing Elementary School	261201060004	453	Penfield Central School District	MONROE
Penfield Senior High School	261201060006	1541	Penfield Central School District	MONROE
Scribner Road Elementary School	261201060005	495	Penfield Central School District	MONROE
Allen Creek School	261401060001	357	Pittsford Central School District	MONROE
Barker Road Middle School	261401060008	731	Pittsford Central School District	MONROE
Calkins Road Middle School	261401060011	703	Pittsford Central School District	MONROE
Jefferson Road School	261401060002	402	Pittsford Central School District	MONROE
Mendon Center Elementary School	261401060005	802	Pittsford Central School District	MONROE
Park Road School	261401060004	461	Pittsford Central School District	MONROE
Pittsford Sutherland High School	261401060006	1020	Pittsford Central School District	MONROE
Pittsford-Mendon High School	261401060010	993	Pittsford Central School District	MONROE
Thornell Road School	261401060009	499	Pittsford Central School District	MONROE
Bioscience & Health Career Hs At Franklin	261600010076	311	Rochester City School District	MONROE
Charlotte High School	261600010060	1046	Rochester City School District	MONROE
Dr Freddie Thomas High School	261600010085	1064	Rochester City School District	MONROE
Dr Walter Cooper Academy	261600010010	174	Rochester City School District	MONROE
East High School	261600010061	1714	Rochester City School District	MONROE
Global Media Arts Hs At Franklin	261600010084	314	Rochester City School District	MONROE
Integrated Arts And Technology High School	261600010101	71	Rochester City School District	MONROE
International Finance & Economic Development Hs At Franklin	261600010086	283	Rochester City School District	MONROE
James Monroe High School	261600010066	1074	Rochester City School District	MONROE
John Marshall High School	261600010065	956	Rochester City School District	MONROE
Joseph C Wilson Foundation Academy	261600010068	552	Rochester City School District	MONROE
Joseph C Wilson Magnet High School	261600010067	1146	Rochester City School District	MONROE
Northeast College Preparatory High School	261600010073	472	Rochester City School District	MONROE
Northwest College Preparatory High School	261600010089	440	Rochester City School District	MONROE
Robert Brown School Of Construction And Design	261600010095	156	Rochester City School District	MONROE
Rochester Early College International High School	261600010102	93	Rochester City School District	MONROE
Rochester Science, Technology, Engineering And Math High School	261600010096	184	Rochester City School District	MONROE
School 12-James P B Duffy	261600010012	785	Rochester City School District	MONROE
School 14-Chester Dewey	261600010014	132	Rochester City School District	MONROE
School 15-Children'S School Of Rochester (The)	261600010015	302	Rochester City School District	MONROE
School 16-John Walton Spencer	261600010016	447	Rochester City School District	MONROE
School 17-Enrico Fermi	261600010017	614	Rochester City School District	MONROE
School 19-Dr Charles T Lunsford	261600010019	411	Rochester City School District	MONROE
School 1-Martin B Anderson	261600010001	327	Rochester City School District	MONROE
School 20-Henry Lomb School	261600010020	362	Rochester City School District	MONROE
School 22-Lincoln School	261600010022	478	Rochester City School District	MONROE
School 23-Francis Parker	261600010023	347	Rochester City School District	MONROE
School 25-Nathaniel Hawthorne	261600010025	357	Rochester City School District	MONROE
School 28-Henry Hudson	261600010028	606	Rochester City School District	MONROE
School 29-Adlai E Stevenson	261600010029	355	Rochester City School District	MONROE
School 2-Clara Barton	261600010002	379	Rochester City School District	MONROE
School 30-General Elwell S Otis	261600010030	388	Rochester City School District	MONROE
School 33-Audubon	261600010033	1191	Rochester City School District	MONROE
School 34-Dr Louis A Cerulli	261600010034	530	Rochester City School District	MONROE
School 35-Pinnacle	261600010035	430	Rochester City School District	MONROE
School 36-Henry W Longfellow	261600010036	366	Rochester City School District	MONROE
School 39-Andrew J Townson	261600010039	638	Rochester City School District	MONROE
School 3-Nathaniel Rochester	261600010003	665	Rochester City School District	MONROE
School 41-Kodak Park	261600010041	614	Rochester City School District	MONROE
School 42-Abelard Reynolds	261600010042	510	Rochester City School District	MONROE
School 43-Theodore Roosevelt	261600010043	544	Rochester City School District	MONROE
School 44-Lincoln Park	261600010044	417	Rochester City School District	MONROE
School 45-Mary Mcleod Bethune	261600010045	678	Rochester City School District	MONROE
School 46-Charles Carroll	261600010046	325	Rochester City School District	MONROE
School 4-George Mather Forbes	261600010004	364	Rochester City School District	MONROE
School 50-Helen Barrett Montgomery	261600010050	529	Rochester City School District	MONROE
School 52-Frank Fowler Dow	261600010052	343	Rochester City School District	MONROE
School 53 Montessori Academy	261600010053	172	Rochester City School District	MONROE
School 54-Flower City Community School	261600010054	305	Rochester City School District	MONROE
School 57-Early Childhood School	261600010057	216	Rochester City School District	MONROE
School 58-World Of Inquiry School	261600010058	470	Rochester City School District	MONROE
School 5-John Williams	261600010005	543	Rochester City School District	MONROE
School 6-Dag Hammarskjold	261600010006	358	Rochester City School District	MONROE
School 7-Virgil Grissom	261600010007	596	Rochester City School District	MONROE
School 8-Roberto Clemente	261600010008	562	Rochester City School District	MONROE
School 9-Dr Martin Luther King Jr	261600010009	726	Rochester City School District	MONROE
School For Business, Finance And Entrepreneurship At Edison	261600010081	245	Rochester City School District	MONROE
School Of Engineering And Manufacturing At Edison	261600010082	263	Rochester City School District	MONROE
School Of Imaging And Information Technology At Edison	261600010094	273	Rochester City School District	MONROE
School Of The Arts	261600010074	1169	Rochester City School District	MONROE
School Without Walls	261600010069	481	Rochester City School District	MONROE
Skilled Trades At Edison	261600010083	306	Rochester City School District	MONROE
Thomas Jefferson High School	261600010063	956	Rochester City School District	MONROE
Vanguard Collegiate High School	261600010097	98	Rochester City School District	MONROE
Charles H Roth Middle School	261701060014	708	Rush-Henrietta Central School District	MONROE
David B Crane Elementary School	261701060005	478	Rush-Henrietta Central School District	MONROE
Emma E Sherman Elementary School	261701060012	467	Rush-Henrietta Central School District	MONROE
Ethel K Fyle Elementary School	261701060002	469	Rush-Henrietta Central School District	MONROE
Floyd S Winslow Elementary School	261701060006	478	Rush-Henrietta Central School District	MONROE
Henry V Burger Middle School	261701060015	490	Rush-Henrietta Central School District	MONROE
Monica B Leary Elementary School	261701060004	509	Rush-Henrietta Central School District	MONROE
Ninth Grade Academy	261701060009	437	Rush-Henrietta Central School District	MONROE
Rush-Henrietta Senior High School	261701060013	1403	Rush-Henrietta Central School District	MONROE
A M Cosgrove Middle School	261001060005	956	Spencerport Central School District	MONROE
Canal View Elementary School	261001060007	459	Spencerport Central School District	MONROE
Leo Bernabi School	261001060003	382	Spencerport Central School District	MONROE
Spencerport High School	261001060001	1345	Spencerport Central School District	MONROE
Terry Taylor Elementary School	261001060006	431	Spencerport Central School District	MONROE
William C Munn School	261001060002	343	Spencerport Central School District	MONROE
Dewitt Road Elementary School	261901060002	475	Webster Central School District	MONROE
Klem Road North Elementary School	261901060003	553	Webster Central School District	MONROE
Klem Road South Elementary School	261901060013	606	Webster Central School District	MONROE
Plank Road North Elementary School	261901060004	597	Webster Central School District	MONROE
Plank Road South Elementary School	261901060011	482	Webster Central School District	MONROE
Schlegel Road Elementary School	261901060014	464	Webster Central School District	MONROE
Spry Middle School	261901060007	1047	Webster Central School District	MONROE
State Road Elementary School	261901060006	563	Webster Central School District	MONROE
Thomas High School	261901060015	1458	Webster Central School District	MONROE
Webster-Schroeder High School	261901060009	1552	Webster Central School District	MONROE
Willink Middle School	261901060010	998	Webster Central School District	MONROE
Briarwood School	260803060001	136	West Irondequoit Central School District	MONROE
Brookview School	260803060012	139	West Irondequoit Central School District	MONROE
Colebrook School	260803060009	130	West Irondequoit Central School District	MONROE
Dake Junior High School	260803060002	611	West Irondequoit Central School District	MONROE
Irondequoit High School	260803060005	1326	West Irondequoit Central School District	MONROE
Iroquois Middle School	260803060003	415	West Irondequoit Central School District	MONROE
Listwood School	260803060014	167	West Irondequoit Central School District	MONROE
Rogers Middle School	260803060004	422	West Irondequoit Central School District	MONROE
Seneca School	260803060007	140	West Irondequoit Central School District	MONROE
Southlawn School	260803060011	222	West Irondequoit Central School District	MONROE
T J Connor Elementary School	262001040004	296	Wheatland-Chili Central School District	MONROE
Wheatland Chili High School	262001040003	417	Wheatland-Chili Central School District	MONROE
West Ridge Ementary School	260501060007	404	Greece Central School District	MONROE
Benjamin Franklin Montessori School	261600010053	184	Rochester City School District	MONROE
Churchville-Chili Middle School	261501060007	617	Churchville-Chili Central School District	MONROE
Churchville-Chili Junior High School	261501060008	794	Churchville-Chili Central School District	MONROE
Washington Irving School	260401060005	303	Gates-Chili Central School District	MONROE
Frederick Douglass Preparatory School	261600010072	965	Rochester City School District	MONROE
Amsterdam High School	270100010010	1171	Amsterdam City School District	MONTGOMERY
Marie Curie Institute Of Engineering And Communication	270100010019	451	Amsterdam City School District	MONTGOMERY
Raphael J Mcnulty Academy For Intern Studies & Literacy	270100010006	450	Amsterdam City School District	MONTGOMERY
Wilbur H Lynch Literacy Academy	270100010009	839	Amsterdam City School District	MONTGOMERY
William B Tecler Arts In Education	270100010018	495	Amsterdam City School District	MONTGOMERY
William H Barkley Microsociety	270100010003	358	Amsterdam City School District	MONTGOMERY
Canajoharie Middle School	270301040003	245	Canajoharie Central School District	MONTGOMERY
Canajoharie Senior High School	270301040002	348	Canajoharie Central School District	MONTGOMERY
East Hill School	270301040004	433	Canajoharie Central School District	MONTGOMERY
Fonda-Fultonville 5-8 School	270601040003	422	Fonda-Fultonville Central School District	MONTGOMERY
Fonda-Fultonville K-4 School	270601040001	549	Fonda-Fultonville Central School District	MONTGOMERY
Fonda-Fultonville Senior High School	270601040002	455	Fonda-Fultonville Central School District	MONTGOMERY
Fort Plain Junior-Senior High School	270701040003	387	Fort Plain Central School District	MONTGOMERY
Harry Hoag School	270701040001	499	Fort Plain Central School District	MONTGOMERY
David H Robbins Elementary School	271102040003	253	Saint Johnsville Central School District	MONTGOMERY
Saint Johnsville Junior-Senior High School	271102040004	205	Saint Johnsville Central School District	MONTGOMERY
William B Tecler Elementary School	270100010018	466	Amsterdam City School District	MONTGOMERY
William Barkley School	270100010003	310	Amsterdam City School District	MONTGOMERY
Academy Charter School	280201860934	257		NASSAU
Evergreen Charter School	280201860947	149		NASSAU
Roosevelt Children'S Academy Charter School	280208860024	703		NASSAU
Baldwin Middle School	280210030012	1269	Baldwin Union Free School District	NASSAU
Baldwin Senior High School	280210030013	1739	Baldwin Union Free School District	NASSAU
Brookside Elementary School	280210030001	209	Baldwin Union Free School District	NASSAU
Lenox Elementary School	280210030004	278	Baldwin Union Free School District	NASSAU
Meadow Elementary School	280210030005	650	Baldwin Union Free School District	NASSAU
Milburn Elementary School	280210030006	152	Baldwin Union Free School District	NASSAU
Plaza Elementary School	280210030007	476	Baldwin Union Free School District	NASSAU
Shubert Elementary School	280210030009	174	Baldwin Union Free School District	NASSAU
Steele Elementary School	280210030010	250	Baldwin Union Free School District	NASSAU
Reinhard Early Childhood Center	280207020004	497	Bellmore Union Free School District	NASSAU
Shore Road School	280207020002	352	Bellmore Union Free School District	NASSAU
Winthrop Avenue School	280207020003	324	Bellmore Union Free School District	NASSAU
Grand Avenue Middle School	280253070002	1018	Bellmore-Merrick Central High School District	NASSAU
John F Kennedy High School	280253070007	1278	Bellmore-Merrick Central High School District	NASSAU
Merrick Avenue Middle School	280253070004	942	Bellmore-Merrick Central High School District	NASSAU
Sanford H Calhoun High School	280253070005	1438	Bellmore-Merrick Central High School District	NASSAU
Wellington C Mepham High School	280253070006	1330	Bellmore-Merrick Central High School District	NASSAU
Bethpage Senior High School	280521030006	996	Bethpage Union Free School District	NASSAU
Central Boulevard Elementary School	280521030002	524	Bethpage Union Free School District	NASSAU
Charles Campagne School	280521030003	422	Bethpage Union Free School District	NASSAU
John F Kennedy Middle School	280521030008	729	Bethpage Union Free School District	NASSAU
Kramer Lane Elementary School	280521030004	352	Bethpage Union Free School District	NASSAU
Carle Place Middle Senior High School	280411030003	674	Carle Place Union Free School District	NASSAU
Cherry Lane School	280411030001	297	Carle Place Union Free School District	NASSAU
Rushmore Avenue School	280411030002	449	Carle Place Union Free School District	NASSAU
Barnum Woods School	280203030001	745	East Meadow Union Free School District	NASSAU
